"Localized Magento Editions","Lokale Magento Editionen"
"Partners - Localized Magento Editions","Partner - Lokale Magento Editionen"
"Dashboard - Localized Magento Editions","Dashboard - Lokale Magento Editionen"
"Suggestions - Localized Magento Editions","Empfehlungen - Lokale Magento Editionen"
"Partners","Partner"
"Dashboard","Dashboard"
"Suggestions","Empfehlungen"
"Please enter your data:","Bitte geben Sie Ihre Daten ein:"
"Shop Data","Shop-Daten"
"Magento was prepared successfully. Please log out and log in again in order to access the newly installed modules.","Magento wurde erfolgreich vorbereitet. Bitte loggen Sie sich aus und anschließend wieder ein, um auf die neu installierten Module zugreifen zu können."
"Your data was saved successfully.","Ihre Daten wurden erfolgreich gespeichert."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","Unsere Bankverbindung: %s, Kto. %s, BLZ %s, %s (IBAN %s, SWIFT %s)."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s","Unsere Bankverbindung: %s, Kto. %s, BLZ %s, %s."
"PayPal Merchant Account Email Address","Email-Adresse des PayPal-Händleraccounts"
"Store Languages","Shop-Sprachen"
"Create Additional Store Languages","Zusätzliche Sprachen anlegen"
"German","Deutsch"
"English","English"
"Français","Français"
"Italiano","Italiano"
"%s language will be created automatically.","%s wird als Standardsprache automatisch angelegt."
"Default Category","Standard-Kategorie"
"Display Logo in Header","Logo im Header anzeigen"
"Display Entry in Menu","Menü-Eintrag anzeigen"
"Display Block in Dashboard","Block in der Übersicht (Dashboard) anzeigen"
"optional","optional"
"Dashboard","Dashboard"
"Partners","Partner"
"Recommendations","Empfehlungen"
"Integrated Modules","Integrierte Module"
"Install the following modules:","Die folgenden Module installieren:"
"Click for more information in a new window","Klick öffnet ein neues Fenster mit mehr Informationen"
"Install default modules","Standardmodule installieren"
"Choose which modules you want to install (Advanced Mode)","Zu installierende Module auswählen (erweiterter Modus)"

"Help to improve %s - data transfer","Mithilfe zur Verbesserung von %s - Datenübertragung"
