Localized Magento Editions,Localizadas ediciones de Magento
Partners - Localized Magento Editions,Socios - localizada Magento Ediciones
Dashboard - Localized Magento Editions,Dashboard - localizada Magento ediciones
Suggestions - Localized Magento Editions,Sugerencias - localizada Magento ediciones
Partners,Socios
Dashboard,Panel
Suggestions,Sugerencias
Please enter your data:,"Por favor, introduzca sus datos:"
Shop Data,Datos de la Tienda
Magento was prepared successfully. Please log out and log in again in order to access the newly installed modules.,"Magento fue preparado con éxito. Por favor, cierra la sesión y vuelve a iniciarla con el fin de acceder a los módulos recién instalados."
Your data was saved successfully.,Tus datos se han guardado correctamente.
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","Al finalizar, por favor transfiere o ingresa el importe del pedido en nuestra: %s, cuenta %s, el código de clasificación %s, %s (IBAN %s, SWIFT %s)"
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s","Al finalizar, transfiere o ingresa el importe del pedido en nuestra cuenta: %s, cuenta %s, código bancario % s, %s."
PayPal Merchant Account Email Address,E-mail de la cuenta de Merchant en PayPal
Store Languages,Idiomas de la tienda
Create Additional Store Languages,Crear idiomas adicionales para la tienda
German,alemán
English,Inglés
French,francés
Italian,italiano
Russian,ruso
%s language will be created automatically.,% s idioma se creará automáticamente.
Default Category,Categoría predeterminada
Display Logo in Header,Mostrar Logo en la Cabecera
Display Entry in Menu,Mostrar entrada en el menú
Display Block in Dashboard,Visualizar Block en el Panel
optional,opcional
Dashboard,Panel
Partners,Socios
Recommendations,Recomendaciones
Integrated Modules,Módulos integrados
Install the following modules:,Instala los siguientes módulos:
Click for more information in a new window,Haga clic para obtener más información en una ventana nueva
Don't install additional modules,No instale módulos adicionales
Install default modules,Instalar módulos por defecto
Choose which modules you want to install (Advanced Mode),Elija qué módulos desea instalar (Modo avanzado)
Successfully updated module %s.,Actualizado con éxito el módulo% s.
,
Help to improve %s - data transfer,Ayuda a mejorar %s -  la transferencia de datos
"%s ist a project from the community, for the community. %s has been created to make the entry to Magento as easy as possible. This project has been initiated by the Netresearch App Factory. The implementation is being lead by integer_net and their experienced developers, who integrated the best and most important extensions together with the community.","%s ist a project from the community, for the community. %s has been created to make the entry to Magento as easy as possible. This project has been initiated by the Netresearch App Factory. The implementation is being lead by integer_net and their experienced developers, who integrated the best and most important extensions together with the community."
To track the spread of %s the system transmits requests with a partner identifier from which you have received %s. You can find the responsible file for this at %s. There will be no user-related data transmitted.,"Um die Verbreitung von %s zu verfolgen, übermittelt das System Requests mit einem Identifier des Partners, über den Sie %s bezogen haben. Sie finden die dafür verantwortliche Datei unter %s. Es werden dabei keinerlei nutzerbezogene Daten erhoben."
"Your consent for transferring usage and contact details through %s enables the developers and community partners to further distribute, develop, and continually improve %s. This way, you and many other merchants can profit from an up-to-date and attractive %s system plus frequent adaptions.","Your consent for transferring usage and contact details through %s enables the developers and community partners to further distribute, develop, and continually improve %s. This way, you and many other merchants can profit from an up-to-date and attractive %s system plus frequent adaptions."
"Of course, you can decide what data you wish to be transmitted. In general, this project is only interested in information about the use of the system and, were indicated, contact details from your imprint. No further information or data will be transmitted.","Of course, you can decide what data you wish to be transmitted. In general, this project is only interested in information about the use of the system and, were indicated, contact details from your imprint. No further information or data will be transmitted."
Thank you very much in advance for your help.,Muchas gracias de antemano por su ayuda.
I wish no further information to be transmitted.,No deseo transmitir más información.
What information will be transmitted?,¿Qué información será transmitida?
I want to help monitor the distribution of %s and also want to profit from exclusive offers from the NR App Factory and their partners.,"Quiero ayudar a supervisar la distribución de %s, y también quiero aprovechar ofertas exclusivas del NR App Factory y sus socios."
This could be your exclusive offers,Esta podrían ser sus ofertas exclusivas
Offers could be for example:,"Ofertas podrían ser, por ejemplo:"
Special conditions when purchasing extensions or services from the NAF store nr.apps.com,Condiciones especiales en la compra de extensiones o servicios de la tienda de NAF nr.apps.com
"Purchase options and special conditions for Magento event tickes, e.g. Meet Magento or Developers Paradise","Opciones de compra y condiciones especiales para tickes de eventos Magento, por ejemplo, Meet Magento o Developers Paradise"
"Purchase options and special conditions for Magento education tickets, e.g. NR Campus","Opciones de compra y condiciones especiales para entranamiento Magento, por ejemplo, MageCampus"
Showing your shop name and a link to your domain on nr-apps.com,Mostrando su nombre de la tienda y un enlace a su dominio en nr-apps.com
and many more,y muchos más
"For your personal offers and information about %s, please see the newsfeed of your system.","Para ofertas personalizadas sobre %s, por favor vea el feed de noticias de su sistema."
"I agree to help monitor the distribution of %s and therefore agree on transmitting the information necessary to accomplish this, thereby supporting the project.","Estoy de acuerdo en ayudar a controlar la distribución de %s, y acepto transmitir la información necesaria para lograr esto, respaldando el proyecto."
Server IP,IP del Servidor
Request Date,Fecha de la petición
Magento Version,Versión de Magento
"Imprint Datas: Shop Name, Company, Street, ZIP, City, Country, Telephone, Fax, Email, Website, CEO, Owner","Datas Imprint: Nombre de la Tienda, Empresa, Calle, Código Postal, Ciudad, País, Teléfono, Fax, Correo electrónico, Página web, CEO, Propietario"
"Further information on data privacy can be found <a href=""%s"" target=""_blank"">here</a>.","Para más información sobre la privacidad de los datos puede consultar <a href=""%s"" target=""_blank"">aquí</a>."
,
News cannot be displayed at the moment. Please try again later.,"Las Noticias no pueden ser mostradas en este momento. Por favor, inténtelo de nuevo más tarde."
"Store ""%s"" already exists.","Tienda ""% s"" ya existe."
,
FireGento German Setup,FireGento Configuración alemana
Extension Setup,Configuración de Extensión
Tax Settings,Ajustes fiscales
Checkout Agreements,Acuerdos del checkout
,
FireGento PDF,FireGento PDF
,
Autoshipping,Envío Automático
,
Cash On Delivery,Contra Reembolso
,
Debit,Débito
Bank Data Setup,Configuración de datos del Banco
,
Remove Customer Account Links,Eliminar Links de la Cuenta del Cliente
,
Configuration,Configuración
,
Display Copyright Notice in Imprint,Mostras información sobre Derechos de Autor en el Pie de página.
"<a href=""%s"" target=""_blank"">%s</a> is a project of the Magento community","<a href=""%s"" target=""_blank"">%s</a> es un proyecto de la comunidad de Magento"
powered by,impulsado por
,
Phoenix_CashOnDelivery::You will be charged an extra fee of %s.,Se le cobrará una tarifa adicional de %s.
,
This could take a little while,Esto podría tomar algo de tiempo
Country Selection,Selección del país
Please go to Backend now in order to complete the preconfiguration.,"Por favor, vaya al Backend para completar la configuración previa."
,
Next Page,Página siguiente
Previous Page,Página Anterior
Setup %s,Configuración de %s
%s Setup,%s Configuración
Page %s of %s,Página %s de %s
"Languages, Modules, Datatransfer","Idiomas, Módulos, Transferencia de datos"
