"Localized Magento Editions","Éditions de Magento localisées"
"Partners - Localized Magento Editions","Partenaires - Éditions de Magento localisées"
"Dashboard - Localized Magento Editions","Dashboard - Éditions de Magento localisées"
"Suggestions - Localized Magento Editions","Recommandations - Éditions de Magento localisées"
"Partners","Partenaires"
"Dashboard","Dashboard"
"Suggestions","Recommandation"
"Please enter your data:","Merci de bien vouloir enregistrer vos coordonnées:"
"Shop Data","Information de la boutique"
"Magento was prepared successfully. Please log out and log in again in order to access the newly installed modules.","Magento a été preparé avec succès.  Veuillez-vous déconnecter puis vous connecter de nouveau pour pouvoir avoir accès aux modules nouvellement installés."
"Your data was saved successfully.","Vos données ont été enregistrées avec succès."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","Après avoir terminé votre commande, veuillez transmette le montant de la commande à: %s, numéro de compte %s, code de banque %s, %s (IBAN %s, SWIFT %s)."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s","Après avoir terminé votre commande, veuillez transmette le montant de la commande à: %s, numéro de compte %s, code de banque %s, %s."
"PayPal Merchant Account Email Address","Adresse email du compte marchand PayPal"
"Store Languages","Langues de la boutique"
"Create Additional Store Languages","Ajouter des langues supplémentaires à la boutique"
"German","Allemand"
"English","Anglais"
"French","Français"
"Italian","Italien"
"Russian","Russe"
"%s language will be created automatically.","%s sera créé automatiquement."
"Default Category","Catégorie par défaut"
"Display Logo in Header","Afficher le logo dans l'en-tête"
"Display Entry in Menu","Afficher l'entrée dans le menu"
"Display Block in Dashboard","Afficher le bloc dans le dashboard"
"optional","optionnel"
"Dashboard","Dashboard"
"Partners","Partenaires"
"Recommendations","Recommendations"
"Integrated Modules","Modules intégrés"
"Install the following modules:","Installer les modules suvants:"
"Click for more information in a new window","Cliquer pour obtenir plus d'informations dans une nouvelle fenêtre"
"Don't install additional modules","N'installez pas les modules supplémentaires"
"Install default modules","Installer les modules par défaut"
"Choose which modules you want to install (Advanced Mode)","Choisissez les modules à installer (mode avancé)"
"Successfully updated module %s.","Le module %s a été actualisé avec succès."

"Help to improve %s - data transfer","Assistance à l'amélioration de %s - transmission de données"
"The Localized Magento Editions (LME) are a project by the Community for the Community. The editions were created to make the start into Magento as simple as possible. The project was initiated by the Netresearch App Factory. With integer_net there are experienced and dedicated developers for the lead of implementationin the team, who have integrated the most important and best exensions together with the Community.","%s est un projet de la communauté pour la communauté. %s est développée pour mettre un pied dans le monde de Magento de la manière la plus simple possible. Le projet a été lancé grâce au concours de la société Netresearch App Factory. Les développeurs experts et engagés d’Integer_net ont intégré les meilleures extensions les plus communes et importantes pour la communauté."
"To track the distribution of the Localized Magento Editions, the system transmits requests with an identifier of the partner, through whom you purchased the system. You can find the responsible file under %s. It will not involve the collection of any user-related data.","Pour suivre la diffusion de %s avec attention, notre système transmet un code d'identification pour identifier le partenaire ou %s qui a été téléchargé. Vous pouvez trouver le fichier responsable de ce traçage dans le fichier %s. Aucun transfert d'information de données personnelles n’est réalisé."
"With your consent, the transmission of usage and contact information by the Edition you can help developers and community partners actively to track the distribution of the Localized Magento Editions to develop the installation furhter and to continually improve it. Thus you and other merchants benefit from a current and attractive system and from the regular adjustments.","En donnant votre accord pour la transmission des données personnelles et de son utilisation, vous aidez les développeurs et les partenaires de la communauté diffusant les %s à perfectionner et améliorer cette édition. En conséquence, vous bénéficiez d'un système mis à jour, régulièrement et attractif."
"Of course, you can decide yourself which amount of data for transmission you want to allow to be sent how much you want to support the further developement. The project is generally only interested in information about the use of the installation and if necessary in contact details from your official imprint. There will not be any further collection of data.","Bien sûr vous pouvez décider dans quelle mesure vous voulez tranmettre les données et jusqu'à quel point vous voulez assister le développement. Le projet s’intéresse uniquement aux données d'utilisation de l'installation et éventuellement uax données personnelles concernant vos mentions légales. Au-delà de ça, aucune autre collecte de données ne sera faite."
"Thanks in advance for your help.","Nous vous remercions d'avance pour votre soutien."
"I don't want any further transfer of data.","Je ne souhaite pas transmettre de données."
"See data of the transmission","Quelles informations seront transmises?"
"I help to observe the distribution of the Localized Magento Editions and want to benefit from the exclusive offerings of NR App Factory & your partners.","Je souhaite participer à l'observation de la diffusion des éditions localisées de Magento et je souhaite bénéficier d'offres favorables de la part de Netresearch App Factory et de leurs partenaires."
"This could be your exclusive offers","Ceci peuvent être vos offres exclusives."
"Offers could be for example:","De telles offres pourraient être par exemple:"
"Special conditions when purchasing extensions or services from the NAF store nr.apps.com","Conditions avantageuses pour l'achat d'extensions ou de services de support dans le NR Apps Store nr.apps.com"
"Purchase options and special conditions for Magento event tickes, e.g. Meet Magento or Developers Paradise","Options d'achat et conditions particulières pour l'achat de tickets aux évènements Magento tels que Meet Magento ou Devlopers Paradise"
"Purchase options and special conditions for Magento education tickets, e.g. NR Campus","Options d'achat et conditions particulières pour les formations Magento par example NR Campus"
"Showing your shop name and a link to your domain on nr-apps.com","Afficher le nom de votre boutique et le lien de votre site sur nr-apps.com"
"and many more","et bien plus encore"
"For your personal offers and information about %s, please see the newsfeed of your system.","Pour pouvoir trouver les offres personnalisées et informations concernant %s, veuillez consulter le fil d'actualité de votre système."
"I hereby agree that contact information are transmitted to verify the reach of the Localized Magento Editions and actively support the project.","Je déclare accepter que les données personnelles peuvent être transmises pour permettre des mises à jour des éditions localisées de Magento et je participe ainsi au activement projet."
"Server IP","IP du serveur"
"Transfer date","Date de transmision"
"Magento Version","Version de Magento"
"Contact information: Store name, company, address, postal code, city, country, telephone, fax, email, website, CEO, owner","Mentions légales: nom de la boutique, entreprise, rue, code postal, ville, pays, téléphone, fax, courriel, site web, gérant, titulaire"
"For more information about privacy, click <a href=""%s"" target=""_blank"">here</a>.","Vous pouvez trouver de plus amples informations <a href=""%s"" target=""_blank"">ici</a>"

"News cannot be displayed at the moment. Please try again later.","Les messages ne peuvent pas être affichés pour le moment. Veuillez réessayer plus tard."
"Store ""%s"" already exists.","La boutique ""%s"" existe déjà."

"FireGento German Setup","FireGento German Setup"
"Extension Setup","Extension Setup"
"Tax Settings","Réglages de taxe"
"Checkout Agreements","Conditions de vente"

"FireGento PDF","FireGento PDF"

"Autoshipping","Autoshipping"

"Cash On Delivery","Contre-remboursement"

"Debit","Virement bancaire"
"Bank Data Setup","Mise en place de données bancaires"

"Remove Customer Account Links","Enlever les liens du compte client"

"Configuration","Configuration"

"Display Copyright Notice in Imprint","Afficher l'indication du copyright dans les mentions légales"
"<a href=""%s"" target=""_blank"">%s</a> is a project of the Magento community","<a href=""%s"" target=""_blank"">%s</a> est un projet de la Magento communauté"
"powered by","powered by"

"Phoenix_CashOnDelivery::You will be charged an extra fee of %s."Vous serez redevable de frais de remboursement de %s"

"This could take a little while","Merci de patienter"
"Country Selection","Choix du pays"
"Please go to Backend now in order to complete the preconfiguration.","Veulliez aller dans le l'administration pour finir la configuration."

"Next Page","Page suivante"
"Previous Page","Page précédente"
"Setup %s","Réglage %s"
"%s Setup","%s réglage"
"Page %s of %s","Page %s de %s"
"Languages, Modules, Datatransfer","Langues, modules, transmission de données"
"Modules, Datatransfer","Modules, transmission de données"

"An error occured. Please provide write access to the whole Magento directory and all subdirectories.","Une erreur s'est produite. Veuillez fournir des droits d'écriture à tout le dossier Magento and ses sous-dossiers"

"Please note:","Veuillez noter:"
"By clicking on the button ""Continue"" you will start the installation of the Localized Magento Edition %s. This process runs in the background.","En cliquant sur "continuer" vous commencerez l'installation de Magento DE. Cette installation est exécutée en arrière-plan."
"Please be patient. The installation may take up to 5 minutes.","Merci de patienter car ceci peut prendre jusqu'à 5 minutes."
"Please keep your browser open. DO NOT RELOAD the page before completion of the process.","Laissez votre navigateur ouvert jusqu'à la fin de l'installation. Veuillez ne pas recharger la page pendant cette période."

"Please fill in your details on the company as fully as possible.","Nous vous prions de remplir toutes les informations de votre entreprise."
"You may need this for the general information requirements, terms and conditions, revocation rules or some payment methods.","Ces informations sont nécessaires par example pour les mentions légales, les conditions générales de vente ou les modes de paiement."
"You can edit or complete all data at any time. You will reach this details over","Vous pouvez éditer ou compléter les informations après coup. Vous trouverez les détails sous l'élément du menu"
"%s &gt; Configuration","%s &gt; Configuration"
"System &gt; Configuration &gt; General: Imprint","système &gt; configuration &gt; général: mentions légales"
"Support Center","Centre de Support"
