"Localized Magento Editions","Gelokaliseerde Magento Editie"
"Partners - Localized Magento Editions","Partners - Gelokaliseerde Magento edities"
"Dashboard - Localized Magento Editions","Dashboard - Gelokaliseerde Magento edities"
"Suggestions - Localized Magento Editions","Aanbevelingen - Gelokaliseerde Magento edities"
"Partners","Partners"
"Dashboard","Dashboard"
"Suggestions","Aanbevelingen"
"Please enter your data:","Vul uw gegevens:"
"Shop Data","Shop data"
"Magento was prepared successfully. Please log out and log in again in order to access the newly installed modules.","Magento is met succes geïnstalleerd. Vergeet niet uit te loggen en opnieuw in te loggen om toegang te krijgen tot de nieuw geïnstalleerde modules."
"Your data was saved successfully.","Uw gegevens zijn succesvol opgeslagen."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","Na de bestelling geplaatst te hebben, maak het bedrag over naar: %s, Rekeningnummer %s, BIC %s, %s (IBAN %s, SWIFT %s)."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s","Na de bestelling geplaatst te hebben, maak het bedrag over naar: %s, Rekeningnummer %s, BIC %s"
"PayPal Merchant Account Email Address","PayPal verkoper email adres"
"Store Languages","Webshop talen"
"Create Additional Store Languages","Maak nieuwe talen voor stores aan"
"German","Duits"
"English","Engels"
"French","Frans"
"Italian","Italiaans"
"Russian","Russisch"
"%s language will be created automatically.","%s taal wordt automatisch aangemaakt."
"Default Category","Standaardcategorie"
"Display Logo in Header","Weergave van logo in header"
"Display Entry in Menu","Weergave menuitem"
"Display Block in Dashboard","Weergave block in dashboard"
"optional","optioneel"
"Recommendations","Aanbevelingen"
"Integrated Modules","Geïntegreerde modules"
"Install the following modules:","Installeer de volgende modules:"
"Click for more information in a new window","Klik voor meer informatie in een nieuw venster"
"Don't install additional modules","Extra modules niet installeren"
"Install default modules","Installeer standaard modules"
"Choose which modules you want to install (Advanced Mode)","Kiezen welke modules u wilt (Advanced Mode) installeren"
"Successfully updated module %s.","Module %s is succesvol bijgewerkt."

"Help to improve %s - data transfer","Helpen om %s te verbeteren - gegevensoverdracht"
"%s ist a project from the community, for the community. %s has been created to make the entry to Magento as easy as possible. This project has been initiated by the Netresearch App Factory. The implementation is being lead by integer_net and their experienced developers, who integrated the best and most important extensions together with the community.","De Gelokaliseerde Magento Editie (%s) is een project van de community voor de community. De edities werden gecreëerd om de start van Magento zo eenvoudig mogelijk te maken. Het project is geïnitieerd door de Netresearch App Factory. Met integer_net achter dit project zijn er ervaren en toegewijde ontwikkelaars voor de leiding van de implementatie, die de belangrijkste en beste extensions samen hebben geïntegreerd met de community."
"To track the spread of %s the system transmits requests with a partner identifier from which you have received %s. You can find the responsible file for this at %s. There will be no user-related data transmitted.","Om de distributie van de Gelokaliseerde Magento edities te volgen, verzendt het systeem verzoeken met een identificatie van de partner, van wie je het systeem hebt gekocht. U kunt het verantwoordelijke bestand te vinden onder app/code/community/IntegerNet/MagentoLocalized/Block/Tracking.php. Het verzamelen van gebruikersgegevens valt hier niet onder."
