"Localized Magento Editions","Ediții Magento Localizate"
"Partners - Localized Magento Editions","Parteneri - Ediții Magento Localizate"
"Dashboard - Localized Magento Editions","Panou control - Ediții Magento Localizate"
"Suggestions - Localized Magento Editions","Sugestii - Ediții Magento Localizate"
"Suggestions","Sugestii"
"Please enter your data:","Introduceți-vă datele:"
"Shop Data","Date Magazin"
"Magento was prepared successfully. Please log out and log in again in order to access the newly installed modules.","Magento a fost pregătit cu succes. Delogați-vă și logați-vă din nou pentru a accesa noile module instalate."
"Your data was saved successfully.","Datele dvs au fost salvate cu succes."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","După finalizarea acestei comenzi, transferați suma de comandă la: %s, Cont %s, Număr bancă %s, %s (IBAN %s, SWIFT %s)"
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s","După finalizarea acestei comenzi, transferați suma comenzii la: %s, Cont %s, Număr bancă %s, %s"
"PayPal Merchant Account Email Address","Adresă E-mail Cont Comerciant PayPal"
"Store Languages","Limbi Magazin"
"Create Additional Store Languages","Creare Limbi Magazin Suplimentare"
"German","Germană"
"English","Engleză"
"French","Franceză"
"Italian","Italiană"
"Russian","Rusă"
"%s language will be created automatically.","limba %s va fi creată automat."
"Default Category","Categorie Implicită"
"Display Logo in Header","Afișare Siglă în Antet"
"Display Entry in Menu","Afișare Intrare în Meniu"
"Display Block in Dashboard","Afișare Bloc în Panou Control"
"optional","opțional"
"Dashboard","Panou Control"
"Partners","Parteneri"
"Recommendations","Recomandări"
"Integrated Modules","Module Integrate"
"Install the following modules:","Instalați următoarele module:"
"Click for more information in a new window","Click pentru mai multe informații într-o fereastră nouă"
"Don't install additional modules","Nu instalați module suplimentare"
"Install default modules","Instalați module suplimentare"
"Choose which modules you want to install (Advanced Mode)","Alegeți care module vreți să le instalați (Mod Avansat)"
"Successfully updated module %s.","Modulul %s actualizat cu succes."
"Help to improve %s - data transfer","Ajutați la îmbunătățirea %s - transfer de date"
"The Localized Magento Editions (LME) are a project by the Community for the Community. The editions were created to make the start into Magento as simple as possible. The project was initiated by the Netresearch App Factory. With integer_net there are experienced and dedicated developers for the lead of implementationin the team, who have integrated the most important and best exensions together with the Community.","Edițiile Localizate Magento (LME) sunt un proiect al Comunității pentru Comunitate. Edițiile au fost create pentru a face startul în Magento cât se poate de simplu. Proiectul a fost inițiat de către Netresearch App Factory. Alături de integer_net se află dezvoltatori dedicați și experimentați pentru conducerea implementării în echipă, care au integrat cele mai importante și utile extensii împreună cu Comunitatea."
"To track the distribution of the Localized Magento Editions, the system transmits requests with an identifier of the partner, through whom you purchased the system. You can find the responsible file under %s. It will not involve the collection of any user-related data.","Pentru a urmări distribuția Edițiilor Localizate Magento, sistemul transmite solicitări cu un identificator al partenerului, prin intermediul căruia ați achiziționat sistemul. Puteți găsi fișierul responsabil la %s. Nu presupune colectarea de date legate de utilizator."
"With your consent, the transmission of usage and contact information by the Edition you can help developers and community partners actively to track the distribution of the Localized Magento Editions to develop the installation furhter and to continually improve it. Thus you and other merchants benefit from a current and attractive system and from the regular adjustments.","Cu acordul dvs, transmiterea informațiilor de utilizare și de contact de către Ediție poate ajuta dezvoltatorii și partenerii comunității să urmărească activ distribuția de Ediții Localizate Magento pentru a dezvolta instalarea și mai departe și pentru a o îmbunătăți constant. În acest fel dvs și alți comercianți beneficiați de un sistem actual și atractiv și de ajustări periodice."
"Of course, you can decide yourself which amount of data for transmission you want to allow to be sent how much you want to support the further developement. The project is generally only interested in information about the use of the installation and if necessary in contact details from your official imprint. There will not be any further collection of data.","Desigur, puteți decide dvs ce cantitate de date doriți să fie transmise și cât de mult doriți să sprijiniți mai departe dezvoltarea. Proiectul este în general interesat numai de informația legată de utilizarea instalării și dacă e necesar de detaliile de contact din imprimarea dvs oficială. Nu vor fi colectate alte date."
"Thanks in advance for your help.","Vă mulțumim în avans pentru ajutor."
"I don't want any further transfer of data.","Nu mai doresc alte transferuri de date."
"See data of the transmission","Vedeți datele transmisiei"
"I help to observe the distribution of the Localized Magento Editions and want to benefit from the exclusive offerings of NR App Factory & your partners.","Ajut la observarea distribuiției Edițiilor Localizate Magento și doresc să beneficiez de ofertele exclusive ale NR App Factory și ale partenerilor dvs."
"This could be your exclusive offers","Așa ar putea fi ofertele dvs exclusive"
"Offers could be for example:","Ofertele pot fi de exemplu:"
"Special conditions when purchasing extensions or services from the NAF store nr.apps.com","Condiții speciale la achiziționarea extensiilor sau serviciilor de la magazinul NAF nr.apps.com"
"Purchase options and special conditions for Magento event tickes, e.g. Meet Magento or Developers Paradise","Opțiuni achiziție și condiții speciale pentru bilete evenimente Magento, de ex. Meet Magento sau Developers Paradise"
