"Localized Magento Editions","Локализованные редакции Magento"
"Partners - Localized Magento Editions","Партнёры - Локализованные редакции Magento"
"Dashboard - Localized Magento Editions","Панель управления - Локализованные редакции Magento"
"Suggestions - Localized Magento Editions","Рекомендации - Локализованные редакции Magento"
"Partners","Партнёры"
"Dashboard","Панель управления"
"Suggestions","Предложения"
"Please enter your data:","Пожалуйста, введите ваши данные:"
"Shop Data","Данные магазина"
"Magento was prepared successfully. Please log out and log in again in order to access the newly installed modules.","Magento успешно подготовлена. Выйдите из панели управления и авторизуйтесь снова, чтобы получить доступ к установленным новым модулям."
"Your data was saved successfully.","Ваши данные успешно сохранены."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","Реквизиты: %s, Аккаунт %s, Номер %s, %s (IBAN %s, SWIFT %s)."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s","Реквизиты: %s, Аккаунт %s, Номер %s, %s."
"PayPal Merchant Account Email Address","Email адрес учётной записи продавца PayPal"
"Store Languages","Языки магазина"
"Create Additional Store Languages","Создать дополнительные языки магазина"
"German","Немецкий"
"English","Английский"
"Français","Французский"
"Italiano","Итальянский"
"Russian","Русский"
"%s language will be created automatically.","%s язык будет создан автоматически."
"Default Category","Категория по умолчанию"
"Display Logo in Header","Отображать логотип в шапке"
"Display Entry in Menu","Отображать в меню пункт Вход"
"Display Block in Dashboard","Отображать блок в панели управления"
"optional","необязательно"
"Partners","Партнёры"
"Recommendations","Рекомендации"
"Integrated Modules","Встроенные модули"
"Install the following modules:","Установить следующие модули:"
"Click for more information in a new window","Нажмите для просмотра подробной информации в новом окне"
"Install default modules","Установить стандартные модули"
"Choose which modules you want to install (Advanced Mode)","Выберите модули для установки (расширенный режим)"

"Help to improve %s - data transfer","Помогите улучшить %s - передача данных"
"%s ist a project from the community, for the community. %s has been created to make the entry to Magento as easy as possible. This project has been initiated by the Netresearch App Factory. The implementation is being lead by integer_net and their experienced developers, who integratet the best and most important extensions for the German market together with the community.","%s это проект, создаваемый сообществом для сообщества. %s создан для того, чтобы начать использовать Magento было как можно легче. Проект был начат компанией Netresearch App Factory. Реализация ведётся под руководством integer_net и их опытных разработчиков, которые встраивают лучшие и важнейшие модули для немецкого рынка."

"Your consent for transferring usage and contact details through %s enables the developers and community partners to further distribute, develop, and continually improve %s. This way, you and many other merchants can profit from an up-to-date and attractive %s system plus frequent adaptions for the German market.","Ваше согласие на передачу информации об использовании системы и контактных данных через %s позволяет разработчикам и партнёрам сообщества распространять, разрабатывать и постоянно улучшать %s. Таким образом, вы и многие другие продавцы получите выгоду от соответствующей современным требованиям и привлекательной %s системы, которая постоянно адаптируется к немецкому рынку."

"Of course, you can decide what data you wish to be transmitted. In general, this project is only interested in information about the use of the system and, were indicated, contact details from your imprint. No further information or data will be transmitted.","Конечно вы сами решаете какие именно данные будут передаваться. В принципе, данный проект заинтересован только в информации об использовании системы и, если это требуется, контактной информации из ваших исходящих данных."

"Thank you very much in advance for your help.","Заранее большое спасибо за вашу помощь."
"I wish no information to be transmitted.","Я не желаю, чтобы передавалась какая нибудь информация."
"I want to help monitor the distribution of %s and therefore agree on transmitting only the information necessary to accomplish this, thereby supporting the project.","Я хочу помочь контролировать распространение %s и, следовательно, согласен с передачей только той информации, которая необходима для достижения этой цели, тем самым поддерживая проект."

"What information will be transmitted?","Какая информация будет передаваться?"
"I want to help monitor the distribution of %s and also want to profit from exclusive offers from the NR App Factory and their partners.","Я хочу помочь контролировать распространение %s и таким образом получать выгоду от эксклюзивных предложений NR App Factory и их партнёров."

"This could be your exclusive offers","Это могут быть ваши эксклюзивные предложения."
