"Localized Magento Editions","Edizioni Localizzate di Magento"
"Partners - Localized Magento Editions","Partner - Edizioni Localizzate di Magento"
"Dashboard - Localized Magento Editions","Dashboard - Edizioni Localizzate di Magento"
"Suggestions - Localized Magento Editions","Suggerimenti - Edizioni Localizzate di Magento"
"Partners","Partner"
"Dashboard","Dashboard"
"Suggestions","Suggerimenti"
"Please enter your data:","Inserisci i tuoi dati:"
"Shop Data","Dati negozio"
"Magento was prepared successfully. Please log out and log in again in order to access the newly installed modules.","Magento è stato configurato con successo. Fai logout e login per avere accesso ai nuovi moduli installati."
"Your data was saved successfully.","I tuoi dati sono stati salvati con successo."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","Dopo aver completato l'ordine, effettua il pagamento presso: %s, Conto %s, BIC %s, %s (IBAN %s, SWIFT %s)"
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s","Dopo aver completato l'ordine, effettua il pagamento presso: %s, Conto %s, BIC %s, %s"
"PayPal Merchant Account Email Address","Indirizzo email del tuo account PayPal Merchant"
"Store Languages","Traduzioni del negozio"
"Create Additional Store Languages","Crea nuove traduzioni del negozio"
"German","Tedesco"
"English","Inglese"
"French","Francese"
"Italian","Italiano"
"Russian","Russo"
"%s language will be created automatically.","La traduzione in %s sarà creata automaticamente."
"Default Category","Categoria di default"
"Display Logo in Header","Visualizza il logo nell'intestazione"
"Display Entry in Menu","Visualizza la voce nel menu"
"Display Block in Dashboard","Visualizza il contenuto nella dashboard"
"optional","opzionale"
"Dashboard","Dashboard"
"Partners","Partner"
"Recommendations","Suggerimenti"
"Integrated Modules","Moduli integrati"
"Install the following modules:","Installa i moduli seguenti:"
"Click for more information in a new window","Clicca per maggiori dettagli in una nuova finestra"
"Don't install additional modules","Non installare moduli aggiuntivi"
"Install default modules","Installa i moduli di default"
"Choose which modules you want to install (Advanced Mode)","Seleziona quali moduli installare (modalità avanzata)"
"Successfully updated module %s.","Modulo %s aggiornato con successo."

