"Localized Magento Editions","Zlokalizowane edycje Magento"
"Partners - Localized Magento Editions","Partnerzy - zlokalizowane edycje Magento"
"Dashboard - Localized Magento Editions","Panel - zlokalizowane edycje Magento"
"Suggestions - Localized Magento Editions","Sugestie - zlokalizowane edycje Magento"
"Partners","Partnerzy"
"Dashboard","Panel"
"Suggestions","Sugestie"
"Please enter your data:","Wprowadź dane:"
"Shop Data","Dane sklepu"
"Magento was prepared successfully. Please log out and log in again in order to access the newly installed modules.","Magento zostało poprawnie przygotowane. Zaloguj się ponownie, aby uzyskać dostęp do nowo zainstalowanych modułów."
"Your data was saved successfully.","Dane zostały pomyślnie zapisane."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","Po złożeniu zamówienia, proszę przelać kwotę: %s, Konto %s, Numer banku %s, %s (IBAN %s, SWIFT %s)."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s","Po złożeniu zamówienia, proszę przelać kwotę: %s, Konto %s, Numer banku %s, %s."
"PayPal Merchant Account Email Address","Adres e-mail konta sprzedawcy PayPal"
"Store Languages","Języki sklepu"
"Create Additional Store Languages","Utwórz dodatkowe języki sklepu"
"German","Niemiecki"
"English","Angielski"
"French","Francuski"
"Italian","Włoski"
"Russian","Rosyjski"
"%s language will be created automatically.","Język %s zostanie utworzony automatycznie."
"Default Category","Domyślna kategoria"
"Display Logo in Header","Wyświetl logo w nagłówku"
"Display Entry in Menu","Wyświetl wejście w menu"
"Display Block in Dashboard","Wyświetl blok w panelu"
"optional","opcjonalne"
"Dashboard","Panel"
"Partners","Partnerzy"
"Recommendations","Rekomendacje"
"Integrated Modules","Zintegrowane moduły"
"Install the following modules:","Instaluj następujące moduły:"
"Click for more information in a new window","Kliknij, aby uzyskać więcej informacji w nowym oknie"
"Don't install additional modules","Nie instaluj dodatkowych modułów"
"Install default modules","Instaluj domyślne moduły"
"Choose which modules you want to install (Advanced Mode)","Wybierz moduły, które chcesz zainstalować (tryb zaawansowany)"
"Successfully updated module %s.","Z powodzeniem zaktualizowano moduł %s."
"Help to improve %s - data transfer","Przyczyń się do poprawy %s - transfer danych"
"The Localized Magento Editions (LME) are a project by the Community for the Community. The editions were created to make the start into Magento as simple as possible. The project was initiated by the Netresearch App Factory. With integer_net there are experienced and dedicated developers for the lead of implementationin the team, who have integrated the most important and best exensions together with the Community.","Zlokalizowane edycje Magento to projekt od Społeczności dla Społeczności. Edycje zostały stworzone, aby możliwie ułatwić rozpoczęcie korzystania z Magento. Projekt został zainicjowany przez Netresearch App Factory. Wraz z integer_net to doświadczone i oddane zespoły deweloperów, którzy zajęli się integracją najważniejszych i najlepszych modułów na rzecz Społeczności."
"To track the distribution of the Localized Magento Editions, the system transmits requests with an identifier of the partner, through whom you purchased the system. You can find the responsible file under %s. It will not involve the collection of any user-related data.","W celu śledzenia rozproszenia zlokalizowanych edycji Magento, system wysyła żądania z identyfikatorem partnera, od którego zakupiono system. Odpowiedni plik możesz znaleźć w %s. Żądanie nie zawiera żadnych danych związanych z użytkownikiem"
"With your consent, the transmission of usage and contact information by the Edition you can help developers and community partners actively to track the distribution of the Localized Magento Editions to develop the installation furhter and to continually improve it. Thus you and other merchants benefit from a current and attractive system and from the regular adjustments.","Za Twoją zgodą, transmisja zużycia oraz informacje kontaktowe mogą zostać użyte, aby pomóc deweloperom oraz społeczności aktywnie śledzić rozproszenie zlokalizowanych edycji Magento, aby rozwijać system i nieustannie go udoskonalać. W ten sposób Ty i inni użytkownicy zyskują na ciągłych poprawkach."
"Of course, you can decide yourself which amount of data for transmission you want to allow to be sent how much you want to support the further developement. The project is generally only interested in information about the use of the installation and if necessary in contact details from your official imprint. There will not be any further collection of data.","Możesz decydować, jaka część danych będzie wysyłana i jak mocno chcesz wspierać rozwój systemu. Najbardziej interesujące informacje dotyczą instalacji i (jeżeli to konieczne) danych dotyczących firmy. Inne dane nie będą zbierane."
"Thanks in advance for your help.","Z góry dziękujemy za pomoc."
"I don't want any further transfer of data.","Nie chcę dalszego przesyłu danych."
"See data of the transmission","Zobacz przesyłane dane"
"I help to observe the distribution of the Localized Magento Editions and want to benefit from the exclusive offerings of NR App Factory & your partners.","Pomagam obserwować rozproszenie zlokalizowanych edycji Magento i chcę zyskać ekskluzywne oferty od NR App Factory oraz partnerów."
"This could be your exclusive offers","To mogą być Twoje ekskluzywne oferty"
"Offers could be for example:","Przykładowe oferty:"
"Special conditions when purchasing extensions or services from the NAF store nr.apps.com","Specjalne warunki zakupów rozszerzeń lub usług ze sklepu NAF nr.apps.com"
"Purchase options and special conditions for Magento event tickes, e.g. Meet Magento or Developers Paradise","Opcje zakupu i specjalne warunki przy zakupie biletów na wydarzenia związane z Magento"
"Purchase options and special conditions for Magento education tickets, e.g. NR Campus","Opcje zakupu i specjalne warunki przy zakupie biletów edukacyjnych Magento"
"Showing your shop name and a link to your domain on nr-apps.com","Umieszczenie nazwy Twojego sklepu i linku na stronie nr-apps.com"
"and many more","i wiele więcej"
"For your personal offers and information about %s, please see the newsfeed of your system.","Oferty przygotowane specjalnie dla Ciebie i informacje o %s możesz zobaczyć w aktualnościach systemu."
"I hereby agree that contact information are transmitted to verify the reach of the Localized Magento Editions and actively support the project.","Niniejszym zgadzam się, że dane kontaktowe są przesyłane w celu weryfikacji zasięgu zlokalizowanych edycji Magento oraz aktywnego wspierania projektu."
"Server IP","Adres IP serwera"
"Transfer date","Data transferu"
"Magento version","Wersja Magento"
"Contact information: Store name, company, address, postal code, city, country, telephone, fax, email, website, CEO, owner","Informacje kontaktowe: Nazwa sklepu, firma, adres, kod pocztowy, miasto, kraj, telefon, fax, adres e-mail, strona www, prezes, właściciel"
"For more information about privacy, click <a href=""%s"" target=""_blank"">here</a>.","Więcej informacji o prywatności można uzyskać <a href=""%s"" target=""_blank"">tutaj</a>."
"News cannot be displayed at the moment. Please try again later.","Aktualności nie mogą zostać wyświetlone w tej chwili. Proszę spróbować później."
"Store ""%s"" already exists.","Sklep ""%s"" już istnieje."
"FireGento German Setup","Niemieckie ustawienia FireGento"
"Extension Setup","Ustawienia rozszerzenia"
"Tax Settings","Ustawienia podatków"
"Checkout Agreements","Warunki zakupu"
"FireGento PDF","FireGento PDF"
"Autoshipping","Automatyczna wysyłka"
"Cash On Delivery","Za pobraniem"
"Debit","Debet"
"Bank Data Setup","Dane bankowe"
"Remove Customer Account Links","Usuń linki do konta użytkownika"
"Configuration","Konfiguracja"
"Display Copyright Notice in Imprint","Wyświetl notkę o prawach autorskich na znaku firmowym"
"<a href=""%s"" target=""_blank"">%s</a> is a project of the Magento community","<a href=""%s"" target=""_blank"">%s</a> jest projektem społeczności Magento"
"powered by","dostarczany przez"
"Phoenix_CashOnDelivery::You will be charged an extra fee of %s.","Naliczona zostanie dodatkowa opłata %s"
"This could take a little while","To może zająć chwilę"
"Country Selection","Wybór kraju"
"Please go to Backend now in order to complete the preconfiguration.","Przejdź do panelu w celu zakończenia wstępnej konfiguracji."
"Next Page","Następna strona"
"Previous Page","Poprzednia strona"
"Setup %s","Ustawienie %s"
"%s Setup","%s ustawienie"
"Page %s of %s","Strona %s z %s"
"Languages, Modules, Datatransfer","Języki, moduły, transfer danych"
"Modules, Datatransfer","Moduły, transfer danych"
"An error occured. Please provide write access to the whole Magento directory and all subdirectories.","Wystąpił błąd. Zapewnij uprawnienia zapisu do całego katalogu Magento oraz podkatalogów."
"Please note:","Należy pamiętać:"
